owner,repo,issue_number,title,state,created_at,closed_at,comments,labels,html_url,fix_time_hours,fix_time_days,project
pallets,flask,4355,Async/await， read file error: greenlet.error: cannot switch to a different thread,closed,2021-11-26 08:54:57+00:00,2021-12-23 00:36:53+00:00,4,bug,https://github.com/pallets/flask/issues/4355,639.6988888888889,26.654120370370368,pallets/flask
pallets,flask,4297,Blueprint.errorhandler restricts type of result function which avoids chaining,closed,2021-10-07 12:03:29+00:00,2022-03-15 15:37:17+00:00,6,bug;typing,https://github.com/pallets/flask/issues/4297,3819.5633333333335,159.14847222222224,pallets/flask
pallets,flask,4295,error handler type check fails,closed,2021-10-06 21:01:05+00:00,2021-11-15 21:37:50+00:00,6,bug,https://github.com/pallets/flask/issues/4295,960.6125,40.02552083333333,pallets/flask
pallets,flask,4037,The Blueprint(url_prefix) parameter is not working when using nesting blueprint,closed,2021-05-13 10:32:50+00:00,2021-05-13 22:27:48+00:00,0,bug;blueprints,https://github.com/pallets/flask/issues/4037,11.91611111111111,0.4965046296296296,pallets/flask
pallets,flask,3776,request.endpoint always None in SessionInterface.open_session,closed,2020-10-03 11:42:30+00:00,2021-02-02 04:45:03+00:00,2,bug,https://github.com/pallets/flask/issues/3776,2921.0425,121.71010416666667,pallets/flask
pallets,flask,3523,Flask dev server not working with Python 3.6 on Anaconda,closed,2020-03-02 10:46:21+00:00,2020-04-03 12:42:51+00:00,6,bug;cli,https://github.com/pallets/flask/issues/3523,769.9416666666667,32.08090277777778,pallets/flask
pallets,flask,3320,Version tag mismatch in link to example projects from docs,closed,2019-08-01 00:14:39+00:00,2019-08-01 19:56:41+00:00,2,docs;bug,https://github.com/pallets/flask/issues/3320,19.700555555555557,0.8208564814814815,pallets/flask
pallets,flask,3297,If arguments are re-written before flask is loaded it sees the original arguments on windows python 2.7,closed,2019-07-10 05:55:01+00:00,2019-07-10 19:42:59+00:00,2,bug;cli,https://github.com/pallets/flask/issues/3297,13.799444444444445,0.5749768518518519,pallets/flask
pallets,flask,2743,Documentation search broken,closed,2018-04-29 10:57:08+00:00,2018-04-30 00:55:44+00:00,2,bug,https://github.com/pallets/flask/issues/2743,13.976666666666667,0.5823611111111111,pallets/flask
pallets,flask,2735,flask.abort() behavioral change in debug mode,closed,2018-04-27 15:44:05+00:00,2018-04-28 14:01:55+00:00,4,bug,https://github.com/pallets/flask/issues/2735,22.29722222222222,0.9290509259259259,pallets/flask
