owner,repo,project,commit_id,filename,file_extension,status,additions,deletions,changes
psf,requests,psf/requests,c3c90bb09c9f4cd635ea28cbc784ee5f724bdab8,requests/config.py,.py,modified,2,1,3
psf,requests,psf/requests,c3c90bb09c9f4cd635ea28cbc784ee5f724bdab8,requests/models.py,.py,modified,15,3,18
psf,requests,psf/requests,c7b99f78192bdff62fad4f92039396c0dfbe4fb8,requests/models.py,.py,modified,1,0,1
psf,requests,psf/requests,9cf9d76eb5af142f983efb776776b0888febc978,requests/models.py,.py,modified,6,0,6
psf,requests,psf/requests,f003025a37f9d546570e52f7d355c6f5d1a81617,requests/models.py,.py,modified,4,0,4
psf,requests,psf/requests,88177ec33fa0846aea0ecb121ffbb041c5f09cdc,requests/sessions.py,.py,modified,2,1,3
psf,requests,psf/requests,39fe0068aa657764778782ce4ca11d5e3ee08c66,requests/sessions.py,.py,modified,7,0,7
psf,requests,psf/requests,39fe0068aa657764778782ce4ca11d5e3ee08c66,test_requests.py,.py,modified,6,0,6
psf,requests,psf/requests,2bbd7ba1c2c5a56c0957be64b5f94f6a4b0243ca,requests/sessions.py,.py,modified,5,1,6
psf,requests,psf/requests,c12122970abd651d1d9a05aa2a9535a53a9c041f,requests/models.py,.py,modified,5,0,5
pallets,flask,pallets/flask,789715adb9949f58b7b0272bed1a58d7cd0fad30,CHANGES,no_extension,modified,3,0,3
pallets,flask,pallets/flask,789715adb9949f58b7b0272bed1a58d7cd0fad30,flask/config.py,.py,modified,1,1,2
pallets,flask,pallets/flask,789715adb9949f58b7b0272bed1a58d7cd0fad30,tests/test_config.py,.py,modified,20,2,22
pallets,flask,pallets/flask,c3d49e29ea42d2f468bc780c15683ca197b50d02,flask/helpers.py,.py,modified,20,0,20
pallets,flask,pallets/flask,c3d49e29ea42d2f468bc780c15683ca197b50d02,flask/sessions.py,.py,modified,5,1,6
pallets,flask,pallets/flask,c52e1b7388c17466a551391cdf81964bf0b7aef0,CHANGES,no_extension,modified,8,0,8
pallets,flask,pallets/flask,c52e1b7388c17466a551391cdf81964bf0b7aef0,flask/helpers.py,.py,modified,2,1,3
pallets,flask,pallets/flask,c52e1b7388c17466a551391cdf81964bf0b7aef0,tests/test_helpers.py,.py,modified,20,1,21
scrapy,scrapy,scrapy/scrapy,4865a500b62fada0be245b9201339cc3d093c6d2,scrapy/settings/__init__.py,.py,modified,10,2,12
