owner,repo,issue_number,closed_event_created_at,commit_id,commit_url,closed_by,closure_type
psf,requests,78,2011-07-24 02:35:50+00:00,c3c90bb09c9f4cd635ea28cbc784ee5f724bdab8,https://api.github.com/repos/psf/requests/commits/c3c90bb09c9f4cd635ea28cbc784ee5f724bdab8,kennethreitz,commit_linked
psf,requests,56,2011-07-24 02:55:20+00:00,,,kennethreitz,manual_or_unknown
psf,requests,291,2011-11-27 16:29:58+00:00,c7b99f78192bdff62fad4f92039396c0dfbe4fb8,https://api.github.com/repos/psf/requests/commits/c7b99f78192bdff62fad4f92039396c0dfbe4fb8,kennethreitz,commit_linked
psf,requests,296,2012-01-23 08:06:14+00:00,,,kennethreitz,manual_or_unknown
psf,requests,286,2012-01-30 06:15:36+00:00,,,benmao,manual_or_unknown
psf,requests,335,2012-03-09 16:58:39+00:00,,,kennethreitz,manual_or_unknown
psf,requests,338,2012-03-16 01:15:28+00:00,9cf9d76eb5af142f983efb776776b0888febc978,https://api.github.com/repos/psf/requests/commits/9cf9d76eb5af142f983efb776776b0888febc978,kennethreitz,commit_linked
psf,requests,293,2012-03-31 07:16:31+00:00,,,kennethreitz,manual_or_unknown
psf,requests,496,2012-04-06 01:45:25+00:00,,,spulec,manual_or_unknown
psf,requests,339,2012-04-12 22:53:39+00:00,,,samuelclay,manual_or_unknown
psf,requests,537,2012-05-04 01:49:58+00:00,,,slingamn,manual_or_unknown
psf,requests,539,2012-05-08 05:09:24+00:00,,,kennethreitz,manual_or_unknown
psf,requests,500,2012-05-10 22:05:42+00:00,,,kennethreitz,manual_or_unknown
psf,requests,605,2012-05-10 23:35:07+00:00,,,slingamn,manual_or_unknown
psf,requests,637,2012-06-15 18:32:14+00:00,,,kennethreitz,manual_or_unknown
psf,requests,458,2012-06-15 18:41:19+00:00,,,kennethreitz,manual_or_unknown
psf,requests,498,2012-07-27 05:29:28+00:00,,,kennethreitz,manual_or_unknown
psf,requests,649,2012-07-27 05:54:43+00:00,,,kennethreitz,manual_or_unknown
psf,requests,424,2012-07-27 06:00:53+00:00,,,kennethreitz,manual_or_unknown
psf,requests,353,2012-07-27 06:05:18+00:00,,,kennethreitz,manual_or_unknown
psf,requests,239,2012-07-27 06:07:41+00:00,,,kennethreitz,manual_or_unknown
psf,requests,606,2012-07-27 06:10:49+00:00,,,kennethreitz,manual_or_unknown
psf,requests,738,2012-07-27 06:11:43+00:00,,,kennethreitz,manual_or_unknown
psf,requests,602,2012-07-27 06:14:15+00:00,,,kennethreitz,manual_or_unknown
psf,requests,747,2012-08-04 15:39:39+00:00,,,kennethreitz,manual_or_unknown
psf,requests,520,2012-08-06 04:38:28+00:00,,,kennethreitz,manual_or_unknown
psf,requests,697,2012-08-13 21:14:51+00:00,,,Lukasa,manual_or_unknown
psf,requests,337,2012-08-25 15:09:13+00:00,,,kennethreitz,manual_or_unknown
psf,requests,862,2012-11-17 11:04:27+00:00,,,Lukasa,manual_or_unknown
psf,requests,771,2012-11-17 11:17:01+00:00,,,Lukasa,manual_or_unknown
psf,requests,223,2012-11-25 03:54:30+00:00,f003025a37f9d546570e52f7d355c6f5d1a81617,https://api.github.com/repos/psf/requests/commits/f003025a37f9d546570e52f7d355c6f5d1a81617,kennethreitz,commit_linked
psf,requests,627,2012-11-27 18:36:34+00:00,,,Lukasa,manual_or_unknown
psf,requests,875,2012-12-03 10:09:18+00:00,,,Lukasa,manual_or_unknown
psf,requests,1029,2012-12-18 02:51:40+00:00,,,gmr,manual_or_unknown
psf,requests,639,2012-12-18 20:15:20+00:00,,,kennethreitz,manual_or_unknown
psf,requests,1102,2013-01-17 10:53:19+00:00,,,kennethreitz,manual_or_unknown
psf,requests,851,2013-01-21 20:23:07+00:00,,,Lukasa,manual_or_unknown
psf,requests,1124,2013-02-10 22:37:55+00:00,,,kennethreitz,manual_or_unknown
psf,requests,1096,2013-02-10 22:55:13+00:00,,,kennethreitz,manual_or_unknown
psf,requests,1189,2013-02-17 01:17:07+00:00,,,Lukasa,manual_or_unknown
psf,requests,1261,2013-03-27 18:31:37+00:00,,,sigmavirus24,manual_or_unknown
