owner,repo,issue_number,title,state,created_at,closed_at,comments,labels,html_url
pallets,flask,4355,Async/await， read file error: greenlet.error: cannot switch to a different thread,closed,2021-11-26T08:54:57Z,2021-12-23T00:36:53Z,4,bug,https://github.com/pallets/flask/issues/4355
pallets,flask,4297,Blueprint.errorhandler restricts type of result function which avoids chaining,closed,2021-10-07T12:03:29Z,2022-03-15T15:37:17Z,6,bug;typing,https://github.com/pallets/flask/issues/4297
pallets,flask,4295,error handler type check fails,closed,2021-10-06T21:01:05Z,2021-11-15T21:37:50Z,6,bug,https://github.com/pallets/flask/issues/4295
pallets,flask,4037,The Blueprint(url_prefix) parameter is not working when using nesting blueprint,closed,2021-05-13T10:32:50Z,2021-05-13T22:27:48Z,0,bug;blueprints,https://github.com/pallets/flask/issues/4037
pallets,flask,3776,request.endpoint always None in SessionInterface.open_session,closed,2020-10-03T11:42:30Z,2021-02-02T04:45:03Z,2,bug,https://github.com/pallets/flask/issues/3776
pallets,flask,3523,Flask dev server not working with Python 3.6 on Anaconda,closed,2020-03-02T10:46:21Z,2020-04-03T12:42:51Z,6,bug;cli,https://github.com/pallets/flask/issues/3523
pallets,flask,3320,Version tag mismatch in link to example projects from docs,closed,2019-08-01T00:14:39Z,2019-08-01T19:56:41Z,2,docs;bug,https://github.com/pallets/flask/issues/3320
pallets,flask,3297,If arguments are re-written before flask is loaded it sees the original arguments on windows python 2.7,closed,2019-07-10T05:55:01Z,2019-07-10T19:42:59Z,2,bug;cli,https://github.com/pallets/flask/issues/3297
pallets,flask,2743,Documentation search broken,closed,2018-04-29T10:57:08Z,2018-04-30T00:55:44Z,2,bug,https://github.com/pallets/flask/issues/2743
pallets,flask,2735,flask.abort() behavioral change in debug mode,closed,2018-04-27T15:44:05Z,2018-04-28T14:01:55Z,4,bug,https://github.com/pallets/flask/issues/2735
pallets,flask,2731,Flask 1.0 backwards-incompat with double-slash/no-slash re. #2629,closed,2018-04-27T13:12:55Z,2018-04-27T19:47:01Z,1,bug;blueprints,https://github.com/pallets/flask/issues/2731
pallets,flask,2728,Wrong wheel for Flask 0.12.3 in PyPI,closed,2018-04-27T09:34:05Z,2018-04-30T01:27:34Z,10,bug;packaging,https://github.com/pallets/flask/issues/2728
pallets,flask,2651,get_json's silent option cache None and causes weird side-effect,closed,2018-03-05T20:09:06Z,2018-04-09T10:00:42Z,7,bug;json,https://github.com/pallets/flask/issues/2651
pallets,flask,2549,"""Request.is_xhr deprecated"" warning during jsonify()",closed,2017-12-11T17:54:11Z,2017-12-11T18:17:42Z,11,bug,https://github.com/pallets/flask/issues/2549
pallets,flask,2526,Invalid range with send_file() and xsendfile causes ValueError,closed,2017-11-23T09:13:39Z,2017-11-24T23:44:49Z,0,bug,https://github.com/pallets/flask/issues/2526
pallets,flask,2267,Flask error handler caching leads to inconsistent behavior,closed,2017-05-02T01:20:27Z,2017-06-05T13:34:49Z,1,bug,https://github.com/pallets/flask/issues/2267
pallets,flask,2118,config.from_pyfile crashes on Python 3 when source isn't encoded in default encoding,closed,2016-12-20T03:01:50Z,2016-12-26T02:51:24Z,24,bug,https://github.com/pallets/flask/issues/2118
pallets,flask,2033,failing test for safe_join in windows,closed,2016-09-21T09:41:07Z,2017-05-16T00:11:35Z,0,bug;testing,https://github.com/pallets/flask/issues/2033
pallets,flask,2007,Prevent setting `SERVER_NAME` and `SESSION_COOKIE_DOMAIN` to an IP address,closed,2016-09-06T12:39:36Z,2017-05-14T05:13:57Z,13,discussion;bug,https://github.com/pallets/flask/issues/2007
pallets,flask,1995,No response and No exception traceback when render_template failed and DEBUG=True,closed,2016-08-27T06:14:30Z,2017-05-29T19:50:13Z,22,blocker;bug,https://github.com/pallets/flask/issues/1995
pallets,flask,1980,"""Larger Applications"" docs don't play nicely with flask run",closed,2016-08-09T17:51:00Z,2016-09-11T16:05:28Z,7,docs;bug,https://github.com/pallets/flask/issues/1980
pallets,flask,1911,Wrong import json library,closed,2016-06-14T09:02:06Z,2017-05-22T19:37:58Z,24,bug;good first issue;json,https://github.com/pallets/flask/issues/1911
pallets,flask,1902,Import error with some examples,closed,2016-06-09T20:35:18Z,2016-08-22T18:53:44Z,30,docs;bug;cli,https://github.com/pallets/flask/issues/1902
pallets,flask,1893,Travis 3.3-devel job fails with error about urllib2 in Werkzeug,closed,2016-06-07T16:28:49Z,2016-06-07T17:32:48Z,3,bug;testing,https://github.com/pallets/flask/issues/1893
pallets,flask,1877,jsonify no longer causes Content-Length to be set on returned Response object,closed,2016-06-03T08:24:29Z,2017-05-30T20:47:38Z,13,bug,https://github.com/pallets/flask/issues/1877
pallets,flask,1837,Setting error handler for unknown code fails,closed,2016-05-31T07:51:12Z,2017-06-01T01:10:00Z,23,docs;bug,https://github.com/pallets/flask/issues/1837
pallets,flask,1829,"""[Errno 2] No such file or directory"" on flask run with FLASK_DEBUG=1",closed,2016-05-29T19:03:30Z,2016-12-26T18:59:20Z,30,bug;cli,https://github.com/pallets/flask/issues/1829
pallets,flask,1427,Bug in send_file with temp files,closed,2015-04-10T16:52:33Z,2016-06-03T16:17:04Z,12,bug,https://github.com/pallets/flask/issues/1427
pallets,flask,1406,Generic error handler for any exception,closed,2015-03-29T15:54:55Z,2015-03-29T17:16:25Z,8,bug,https://github.com/pallets/flask/issues/1406
pallets,flask,1348,sessions not saved when streaming,closed,2015-02-08T19:03:16Z,2017-06-03T19:26:15Z,3,bug;session,https://github.com/pallets/flask/issues/1348
pallets,flask,1330,Method is_json does not support capital letters in mimetype,closed,2015-01-28T15:34:45Z,2015-01-29T09:24:38Z,5,bug,https://github.com/pallets/flask/issues/1330
pallets,flask,1173,python3 -mpdb myflaskapp.py fon ubuntu 14.04,closed,2014-09-10T17:17:49Z,2014-10-19T18:20:57Z,7,bug,https://github.com/pallets/flask/issues/1173
pallets,flask,1169,"BUG in ""send_file"" and ""send_from_directory""",closed,2014-09-04T10:38:47Z,2015-11-07T09:15:11Z,40,bug,https://github.com/pallets/flask/issues/1169
pallets,flask,1167,Randomly Unresponsive After Strange Character Requests,closed,2014-09-03T20:37:59Z,2014-10-19T18:23:11Z,8,bug,https://github.com/pallets/flask/issues/1167
pallets,flask,1124,"CLI: ""flask"" command help doesn't list custom commands",closed,2014-07-16T08:39:22Z,2016-05-26T19:29:49Z,11,bug;cli,https://github.com/pallets/flask/issues/1124
pallets,flask,941,Registering a handler for HTTPException has no effect,closed,2014-01-03T18:58:20Z,2017-05-23T19:55:33Z,20,blocker;bug,https://github.com/pallets/flask/issues/941
psf,requests,6544,Conflicting requirements for urllib3,closed,2023-10-06T20:05:38Z,2023-10-06T22:34:25Z,1,Bug,https://github.com/psf/requests/issues/6544
psf,requests,6104,ValueError when calling requests.get on windows systems.,closed,2022-04-06T17:14:25Z,2022-06-01T17:38:00Z,14,Bug;Contributor Friendly,https://github.com/psf/requests/issues/6104
psf,requests,6027,Proxy authentication bug,closed,2022-01-03T22:12:00Z,2022-01-04T16:04:25Z,12,Bug,https://github.com/psf/requests/issues/6027
psf,requests,5921,requests should ignore REQUESTS_CA_BUNDLE when session.verify is False,closed,2021-09-01T12:18:14Z,2021-09-04T21:37:49Z,4,Bug;Breaking API Change,https://github.com/psf/requests/issues/5921
psf,requests,5891,Session requests are ~70% slower in version 2.26.0,closed,2021-07-28T16:43:39Z,2021-12-30T21:40:46Z,5,Bug,https://github.com/psf/requests/issues/5891
psf,requests,5888,Manually set Proxy-Authorization header is always removed in 2.26,closed,2021-07-27T14:24:46Z,2021-11-24T19:28:59Z,5,Bug,https://github.com/psf/requests/issues/5888
psf,requests,5855,proxy URLs without schemes break under Python 3.9,closed,2021-07-01T23:56:49Z,2021-12-30T21:36:55Z,6,Bug,https://github.com/psf/requests/issues/5855
psf,requests,4986,Doctest fails (7 out of 11),closed,2019-02-17T18:24:38Z,2021-08-07T02:26:11Z,2,Bug;PR(s) available,https://github.com/psf/requests/issues/4986
psf,requests,4748,case-insensitive charset handling,closed,2018-07-24T14:28:26Z,2018-07-24T16:46:20Z,4,Bug,https://github.com/psf/requests/issues/4748
psf,requests,4746,urllib3 LocationParseError uncaught by requests,closed,2018-07-23T09:43:33Z,2018-10-01T02:25:44Z,2,Bug,https://github.com/psf/requests/issues/4746
psf,requests,4716,Should Authorization header be cleared in https -> http redirect?,closed,2018-06-27T09:06:49Z,2018-09-14T12:08:05Z,4,Bug,https://github.com/psf/requests/issues/4716
psf,requests,4649,utf-8 passwords in url don't work,closed,2018-05-16T16:25:58Z,2018-10-03T16:11:33Z,7,Bug,https://github.com/psf/requests/issues/4649
psf,requests,4592,Malformed `Set-Cookie` containing CRLF does not cause an error,closed,2018-04-17T02:42:53Z,2024-05-19T19:10:13Z,7,Bug,https://github.com/psf/requests/issues/4592
psf,requests,4443,fragment not append on redirect,closed,2018-01-01T13:57:19Z,2018-01-21T18:53:24Z,5,Bug,https://github.com/psf/requests/issues/4443
psf,requests,4401,Find cause of status code 0,closed,2017-11-27T10:39:30Z,2017-11-27T21:52:45Z,6,Bug;Propose Close;Needs More Information,https://github.com/psf/requests/issues/4401
psf,requests,4392,Streamed request with preset Host header sends two Host headers,closed,2017-11-20T19:04:03Z,2024-05-19T18:59:48Z,8,Bug,https://github.com/psf/requests/issues/4392
psf,requests,4362,Redirect resolved even though allow_redirects is set to False causing exception for unsupported connection adapter,closed,2017-10-31T13:11:11Z,2021-12-29T02:32:57Z,6,Bug,https://github.com/psf/requests/issues/4362
psf,requests,4275,Requests tries to resolve `user:pass@host` on OS X,closed,2017-09-05T10:13:27Z,2018-01-16T14:07:27Z,1,Bug;PR(s) Wanted,https://github.com/psf/requests/issues/4275
psf,requests,4030,fix pypi page,closed,2017-05-17T14:38:38Z,2017-05-18T01:41:01Z,3,Bug;Planned;Contributor Friendly;Documentation,https://github.com/psf/requests/issues/4030
psf,requests,3696,A whitespace at the start of Url causes error on request,closed,2016-11-16T16:05:10Z,2016-11-16T18:38:12Z,4,Bug;Contributor Friendly,https://github.com/psf/requests/issues/3696
psf,requests,3689,security extras need to be updated,closed,2016-11-16T01:03:01Z,2016-11-16T10:33:47Z,2,Bug;Contributor Friendly,https://github.com/psf/requests/issues/3689
psf,requests,3683,URL has an invalid label.,closed,2016-11-15T14:50:57Z,2016-11-30T15:07:22Z,29,Bug,https://github.com/psf/requests/issues/3683
psf,requests,3597,TypeError in MockRequest when 'Host' header set to bytestring,closed,2016-09-25T06:04:14Z,2016-09-29T07:09:41Z,3,Bug;Contributor Friendly,https://github.com/psf/requests/issues/3597
psf,requests,3578,"""LookupError: unknown encoding: idna"" in worker threads, under embedded Python 3.5",closed,2016-09-16T22:43:02Z,2016-09-17T07:19:01Z,5,Bug;Contributor Friendly,https://github.com/psf/requests/issues/3578
psf,requests,3518,ALL_PROXY is incorrectly preferred to HTTP(S)_PROXY,closed,2016-08-17T12:04:32Z,2016-08-25T12:45:16Z,2,Bug;Contributor Friendly,https://github.com/psf/requests/issues/3518
psf,requests,3490,Remove header in middle of redirection,closed,2016-08-09T18:24:05Z,2016-08-12T19:57:40Z,8,Bug;Contributor Friendly,https://github.com/psf/requests/issues/3490
psf,requests,3481,Error with decode_unicode=True on streamed response,closed,2016-08-09T07:58:53Z,2016-09-11T09:11:16Z,9,Bug,https://github.com/psf/requests/issues/3481
