owner,repo,project,issue_number,title,created_at,closed_at,fix_time_days,comments,labels,html_url,closed_event_created_at,commit_id,commit_message,commit_date,total_changes,additions,deletions,changed_files,linked_to_commit,closure_type
pallets,flask,pallets/flask,4355,Async/await， read file error: greenlet.error: cannot switch to a different thread,2021-11-26 08:54:57+00:00,2021-12-23 00:36:53+00:00,26.654120370370368,4,bug,https://github.com/pallets/flask/issues/4355,2021-12-23 00:36:53+00:00,,,,,,,,False,manual_or_unknown
pallets,flask,pallets/flask,4297,Blueprint.errorhandler restricts type of result function which avoids chaining,2021-10-07 12:03:29+00:00,2022-03-15 15:37:17+00:00,159.14847222222224,6,bug;typing,https://github.com/pallets/flask/issues/4297,2022-03-15 15:37:18+00:00,,,,,,,,False,manual_or_unknown
pallets,flask,pallets/flask,4295,error handler type check fails,2021-10-06 21:01:05+00:00,2021-11-15 21:37:50+00:00,40.02552083333333,6,bug,https://github.com/pallets/flask/issues/4295,2021-11-15 21:37:50+00:00,,,,,,,,False,manual_or_unknown
pallets,flask,pallets/flask,4037,The Blueprint(url_prefix) parameter is not working when using nesting blueprint,2021-05-13 10:32:50+00:00,2021-05-13 22:27:48+00:00,0.4965046296296296,0,bug;blueprints,https://github.com/pallets/flask/issues/4037,2021-05-13 22:27:48+00:00,,,,,,,,False,manual_or_unknown
pallets,flask,pallets/flask,3776,request.endpoint always None in SessionInterface.open_session,2020-10-03 11:42:30+00:00,2021-02-02 04:45:03+00:00,121.71010416666668,2,bug,https://github.com/pallets/flask/issues/3776,2021-02-02 04:45:03+00:00,,,,,,,,False,manual_or_unknown
pallets,flask,pallets/flask,3523,Flask dev server not working with Python 3.6 on Anaconda,2020-03-02 10:46:21+00:00,2020-04-03 12:42:51+00:00,32.08090277777778,6,bug;cli,https://github.com/pallets/flask/issues/3523,2020-04-03 12:42:51+00:00,,,,,,,,False,manual_or_unknown
pallets,flask,pallets/flask,3320,Version tag mismatch in link to example projects from docs,2019-08-01 00:14:39+00:00,2019-08-01 19:56:41+00:00,0.8208564814814815,2,docs;bug,https://github.com/pallets/flask/issues/3320,2019-08-01 19:56:41+00:00,,,,,,,,False,manual_or_unknown
pallets,flask,pallets/flask,3297,If arguments are re-written before flask is loaded it sees the original arguments on windows python 2.7,2019-07-10 05:55:01+00:00,2019-07-10 19:42:59+00:00,0.5749768518518519,2,bug;cli,https://github.com/pallets/flask/issues/3297,2019-07-10 19:42:59+00:00,,,,,,,,False,manual_or_unknown
pallets,flask,pallets/flask,2743,Documentation search broken,2018-04-29 10:57:08+00:00,2018-04-30 00:55:44+00:00,0.5823611111111111,2,bug,https://github.com/pallets/flask/issues/2743,2018-04-30 00:55:44+00:00,,,,,,,,False,manual_or_unknown
pallets,flask,pallets/flask,2735,flask.abort() behavioral change in debug mode,2018-04-27 15:44:05+00:00,2018-04-28 14:01:55+00:00,0.929050925925926,4,bug,https://github.com/pallets/flask/issues/2735,2018-04-28 14:01:55+00:00,,,,,,,,False,manual_or_unknown
pallets,flask,pallets/flask,2731,Flask 1.0 backwards-incompat with double-slash/no-slash re. #2629,2018-04-27 13:12:55+00:00,2018-04-27 19:47:01+00:00,0.2736805555555555,1,bug;blueprints,https://github.com/pallets/flask/issues/2731,2018-04-27 19:47:01+00:00,,,,,,,,False,manual_or_unknown
pallets,flask,pallets/flask,2728,Wrong wheel for Flask 0.12.3 in PyPI,2018-04-27 09:34:05+00:00,2018-04-30 01:27:34+00:00,2.662141203703704,10,bug;packaging,https://github.com/pallets/flask/issues/2728,2018-04-30 01:27:34+00:00,,,,,,,,False,manual_or_unknown
pallets,flask,pallets/flask,2651,get_json's silent option cache None and causes weird side-effect,2018-03-05 20:09:06+00:00,2018-04-09 10:00:42+00:00,34.5775,7,bug;json,https://github.com/pallets/flask/issues/2651,2018-04-09 10:00:42+00:00,,,,,,,,False,manual_or_unknown
pallets,flask,pallets/flask,2549,"""Request.is_xhr deprecated"" warning during jsonify()",2017-12-11 17:54:11+00:00,2017-12-11 18:17:42+00:00,0.0163310185185185,11,bug,https://github.com/pallets/flask/issues/2549,2017-12-11 18:17:42+00:00,,,,,,,,False,manual_or_unknown
pallets,flask,pallets/flask,2526,Invalid range with send_file() and xsendfile causes ValueError,2017-11-23 09:13:39+00:00,2017-11-24 23:44:49+00:00,1.604976851851852,0,bug,https://github.com/pallets/flask/issues/2526,2017-11-24 23:44:49+00:00,c52e1b7388c17466a551391cdf81964bf0b7aef0,"Fix ValueError for some invalid Range requests

fixes #2526",2017-11-23T09:32:13Z,32.0,30.0,2.0,3.0,True,commit_linked
pallets,flask,pallets/flask,2267,Flask error handler caching leads to inconsistent behavior,2017-05-02 01:20:27+00:00,2017-06-05 13:34:49+00:00,34.50997685185185,1,bug,https://github.com/pallets/flask/issues/2267,2017-06-05 13:34:50+00:00,,,,,,,,False,manual_or_unknown
pallets,flask,pallets/flask,2118,config.from_pyfile crashes on Python 3 when source isn't encoded in default encoding,2016-12-20 03:01:50+00:00,2016-12-26 02:51:24+00:00,5.99275462962963,24,bug,https://github.com/pallets/flask/issues/2118,2016-12-26 02:51:24+00:00,789715adb9949f58b7b0272bed1a58d7cd0fad30,"Fix config.from_pyfile on Python 3 (#2123)

* Fix config.from_pyfile on Python 3

Fix #2118

* Support Python 2.6

* Fix tests on Python 2",2016-12-26T02:50:47Z,27.0,24.0,3.0,3.0,True,commit_linked
pallets,flask,pallets/flask,2033,failing test for safe_join in windows,2016-09-21 09:41:07+00:00,2017-05-16 00:11:35+00:00,236.60449074074077,0,bug;testing,https://github.com/pallets/flask/issues/2033,2017-05-16 00:11:35+00:00,,,,,,,,False,manual_or_unknown
pallets,flask,pallets/flask,2007,Prevent setting `SERVER_NAME` and `SESSION_COOKIE_DOMAIN` to an IP address,2016-09-06 12:39:36+00:00,2017-05-14 05:13:57+00:00,249.69052083333332,13,discussion;bug,https://github.com/pallets/flask/issues/2007,2017-05-14 05:13:57+00:00,c3d49e29ea42d2f468bc780c15683ca197b50d02,"show warning if session cookie domain is ip
closes #2007",2016-12-04T18:29:11Z,26.0,25.0,1.0,2.0,True,commit_linked
pallets,flask,pallets/flask,1995,No response and No exception traceback when render_template failed and DEBUG=True,2016-08-27 06:14:30+00:00,2017-05-29 19:50:13+00:00,275.5664699074074,22,blocker;bug,https://github.com/pallets/flask/issues/1995,2017-05-29 19:50:13+00:00,,,,,,,,False,manual_or_unknown
pallets,flask,pallets/flask,1980,"""Larger Applications"" docs don't play nicely with flask run",2016-08-09 17:51:00+00:00,2016-09-11 16:05:28+00:00,32.92671296296296,7,docs;bug,https://github.com/pallets/flask/issues/1980,2016-09-11 16:05:28+00:00,,,,,,,,False,manual_or_unknown
pallets,flask,pallets/flask,1911,Wrong import json library,2016-06-14 09:02:06+00:00,2017-05-22 19:37:58+00:00,342.441574074074,24,bug;good first issue;json,https://github.com/pallets/flask/issues/1911,2017-05-22 19:37:58+00:00,,,,,,,,False,manual_or_unknown
pallets,flask,pallets/flask,1902,Import error with some examples,2016-06-09 20:35:18+00:00,2016-08-22 18:53:44+00:00,73.92946759259259,30,docs;bug;cli,https://github.com/pallets/flask/issues/1902,2016-08-22 18:53:45+00:00,,,,,,,,False,manual_or_unknown
